symbol	qualifier	authority	body_lines	rule	reason
createImplicitSyncREPass	mlir::sentient	dcc/src/Transform/Sentient/ImplicitSyncRE.cpp:90	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
isUnknownValue		dcc/src/Transform/Sentient/ImplicitSyncRE.hpp:43	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getTileSize		dcc/src/Transform/Sentient/ImplicitSyncRE.hpp:46	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setTileSize		dcc/src/Transform/Sentient/ImplicitSyncRE.hpp:47	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
RedundantDefinitionEliminationTree		dcc/src/Transform/Sentient/ImplicitSyncRE.hpp:61	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
opts_		dcc/src/Transform/Sentient/LexicalOrdering.cpp:97	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createLexicalOrderingPass	mlir::sentient	dcc/src/Transform/Sentient/LexicalOrdering.cpp:217	4	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLexicalOrderingPass	mlir::sentient	dcc/src/Transform/Sentient/LexicalOrdering.cpp:222	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLightweightSimplificationPass	mlir::sentient	dcc/src/Transform/Sentient/LightweightSimplification.cpp:348	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/LiveRangeReduction.cpp:163	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getUnitIndex		dcc/src/Transform/Sentient/LiveRangeReduction.cpp:208	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
createLiveRangeReductionPass	mlir::sentient	dcc/src/Transform/Sentient/LiveRangeReduction.cpp:1314	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLiveRangeReductionPass	mlir::sentient	dcc/src/Transform/Sentient/LiveRangeReduction.cpp:1320	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
getUnits		dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:143	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOriginalRegion		dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:144	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
numLocalRegions		dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:170	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getLocalRegion		dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:171	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getOriginalOp		dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:175	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
LocalRegionSplittingForValueCommoningPass		dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:188	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:226	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createLocalRegionSplittingForValueCommoningPass	mlir::sentient	dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:475	4	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLocalRegionSplittingForValueCommoningPass	mlir::sentient	dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:482	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLoopAbsorptionPass	mlir::sentient	dcc/src/Transform/Sentient/LoopAbsorption.cpp:564	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLoopAbsorptionPass	mlir::sentient	dcc/src/Transform/Sentient/LoopAbsorption.cpp:570	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/LoopAbsorption.hpp:183	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/LoopCoalescing.cpp:56	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createLoopCoalescingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopCoalescing.cpp:431	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLoopCoalescingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopCoalescing.cpp:437	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/LoopEliminationViaRerolling.cpp:420	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createLoopEliminationViaRerollingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopEliminationViaRerolling.cpp:428	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLoopEliminationViaRerollingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopEliminationViaRerolling.cpp:434	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
LoopMergingPass	LoopMergingPass	dcc/src/Transform/Sentient/LoopMerging.cpp:54	1	trivial_ctor_dtor	trivial ctor/dtor of LoopMergingPass (1-line body) - a Rust struct literal
createLoopMergingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopMerging.cpp:341	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLoopMergingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopMerging.cpp:347	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/LoopMerging.hpp:53	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
isOpInThisWindow		dcc/src/Transform/Sentient/LoopRolling.cpp:130	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getSize		dcc/src/Transform/Sentient/LoopRolling.cpp:132	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getEffectiveStart		dcc/src/Transform/Sentient/LoopRolling.cpp:133	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getEnd		dcc/src/Transform/Sentient/LoopRolling.cpp:138	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getFirstRollableOp		dcc/src/Transform/Sentient/LoopRolling.cpp:139	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getLastRollableOp		dcc/src/Transform/Sentient/LoopRolling.cpp:140	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getStartOp		dcc/src/Transform/Sentient/LoopRolling.cpp:180	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getEndOp		dcc/src/Transform/Sentient/LoopRolling.cpp:181	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setEndOp		dcc/src/Transform/Sentient/LoopRolling.cpp:182	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOperandDeltas		dcc/src/Transform/Sentient/LoopRolling.cpp:195	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getIterArgToResNumAndOperand		dcc/src/Transform/Sentient/LoopRolling.cpp:196	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/LoopRolling.cpp:1022	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createLoopRollingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopRolling.cpp:1035	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLoopRollingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopRolling.cpp:1041	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:67	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createLoopSplittingAndUnrollingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:1083	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createLoopSplittingAndUnrollingPass	mlir::sentient	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:1090	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:55	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:106	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createMultiDimLoopPeelingPass	mlir::sentient	dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:775	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createMultiDimLoopPeelingPass	mlir::sentient	dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:781	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createMulticastCanonicalizationPass	mlir::sentient	dcc/src/Transform/Sentient/MulticastCanonicalization.cpp:398	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
NOPInsertionForBackToBackSyncsPass		dcc/src/Transform/Sentient/NOPInsertionForBackToBackSyncs.cpp:60	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/NOPInsertionForBackToBackSyncs.cpp:93	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createNOPInsertionForBackToBackSyncsPass	mlir::sentient	dcc/src/Transform/Sentient/NOPInsertionForBackToBackSyncs.cpp:151	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createNOPInsertionForBackToBackSyncsPass	mlir::sentient	dcc/src/Transform/Sentient/NOPInsertionForBackToBackSyncs.cpp:157	4	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:98	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getFinalRegInitCandidates		dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:142	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getFinalRegCoalescingCandidates		dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:151	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getEnforcedVirtualAssign		dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:155	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:673	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createOldRegisterInitializationPass	mlir::sentient	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:1317	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createOldRegisterInitializationPass	mlir::sentient	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:1324	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
getLrfIndex	UnrollOperands	dcc/src/Transform/Sentient/OpRerolling.cpp:958	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getIStateIndex	UnrollOperands	dcc/src/Transform/Sentient/OpRerolling.cpp:962	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
createOpRerollingPass	mlir::sentient	dcc/src/Transform/Sentient/OpRerolling.cpp:1355	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createOpRerollingPass	mlir::sentient	dcc/src/Transform/Sentient/OpRerolling.cpp:1361	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
